02/03/17	9:35 pm	shobhit	me ke 4 vale ki pic bejj do
02/03/17	9:35 pm	psit shivam tripathi	ok
02/03/17	9:35 pm	shobhit	lath machine
02/03/17	9:37 pm	shobhit	thnxx
02/03/17	9:38 pm	psit shivam tripathi	laat marenge ab
02/03/17	9:38 pm	psit shivam tripathi	lathe machine se pehle
02/03/17	9:38 pm	psit shivam tripathi	kal milna
02/03/17	9:38 pm	shobhit	kyo
02/03/17	9:39 pm	psit shivam tripathi	majaak kar rhe
02/03/17	9:39 pm	shobhit	ok
02/03/17	9:39 pm	shobhit	fr tik h
02/03/17	9:39 pm	shobhit	nhi to hmm kal gola marr dete
02/03/17	9:44 pm	shobhit	greedy algo dakk lo
02/03/17	9:44 pm	psit shivam tripathi	ok
02/03/17	9:53 pm	shobhit	kya din bhr phn liye rahte ho
02/03/17	9:54 pm	shobhit	alwys online
02/03/17	9:55 pm	psit shivam tripathi	nahi
02/03/17	9:55 pm	psit shivam tripathi	tum shanti se so jao
02/03/17	9:55 pm	psit shivam tripathi	tu tu ho raha hai phone har 2 min me
03/03/17	6:42 am	shobhit	oh
08/03/17	8:46 pm	shobhit	pc ka wrk kiya hh kya
08/03/17	8:58 pm	psit shivam tripathi	no
08/03/17	8:59 pm	shobhit	ok
12/03/17	10:03 pm	shobhit	no matr what
12/03/17	10:28 pm	psit shivam tripathi	happy holi patel ji
12/03/17	10:29 pm	shobhit	same to u
08/04/17	6:34 pm	shobhit	progm bannay
08/04/17	6:34 pm	psit shivam tripathi	abhi so rahe 9 baje tak banaunga
08/04/17	6:34 pm	shobhit	ok
08/04/17	6:34 pm	shobhit	agr bann jay to msg kr dena
08/04/17	6:34 pm	psit shivam tripathi	ok
08/04/17	9:55 pm	shobhit	kiya kutch
08/04/17	9:56 pm	psit shivam tripathi	haan kar rahe
08/04/17	9:56 pm	psit shivam tripathi	tumhara solution galat hi
08/04/17	9:56 pm	psit shivam tripathi	hamko smallest no of possible flips nikaalna hai
08/04/17	9:56 pm	shobhit	kya
08/04/17	9:56 pm	psit shivam tripathi	ek line se loop chalane pe smallest no of possible flips nahi mil raha
08/04/17	9:57 pm	shobhit	oh
08/04/17	9:57 pm	shobhit	to koi or method samj aay kya
08/04/17	9:57 pm	psit shivam tripathi	laga kar dekh raha hu
08/04/17	9:58 pm	psit shivam tripathi	lag jayega toh bata dunha
08/04/17	9:58 pm	shobhit	ok
08/04/17	10:31 pm	shobhit	i think ho gy hh
08/04/17	10:31 pm	shobhit	hmm code bejj rhe h chek karo
08/04/17	10:32 pm	psit shivam tripathi	ok
08/04/17	10:41 pm	shobhit	example program
08/04/17	10:41 pm	shobhit	http cpp sh
08/04/17	10:41 pm	shobhit	iss site pe run kr lo
08/04/17	10:43 pm	psit shivam tripathi	dekhta hu
08/04/17	10:47 pm	psit shivam tripathi	run kar raha
08/04/17	10:48 pm	shobhit	ok hmm tidy number dakte hh
08/04/17	10:49 pm	psit shivam tripathi	output toh sahi de raha hai
08/04/17	10:49 pm	shobhit	hmm
08/04/17	10:49 pm	shobhit	ista matlb sahi h
08/04/17	10:49 pm	psit shivam tripathi	haan
08/04/17	10:51 pm	shobhit	to ab tidy nubr
08/04/17	10:51 pm	shobhit	ya ishi ko or chek karo ge
08/04/17	10:51 pm	psit shivam tripathi	dekhte hai
08/04/17	10:51 pm	psit shivam tripathi	academics ka bhi padhna hai yaar
08/04/17	10:51 pm	psit shivam tripathi	pu aane wale
08/04/17	10:52 pm	shobhit	hmk
09/04/17	1:31 pm	psit shivam tripathi	submit kiya tha
09/04/17	1:31 pm	psit shivam tripathi	khatm ho gaya
09/04/17	2:08 pm	shobhit	no
09/04/17	2:08 pm	psit shivam tripathi	sahi hai
09/04/17	2:08 pm	shobhit	tumne manna kr diya to hmm ne bi nhi kiya
09/04/17	2:08 pm	psit shivam tripathi	khatm ho gaya time
09/04/17	2:09 pm	shobhit	hmm
09/04/17	2:09 pm	psit shivam tripathi	koi baat nahi hai
09/04/17	2:09 pm	psit shivam tripathi	agli baar poori taiyari se karenge
09/04/17	2:09 pm	shobhit	ha
09/04/17	2:09 pm	psit shivam tripathi	agle saal hoga ab ya kuchh mahine baad phir se
09/04/17	2:09 pm	shobhit	sayd next yr
09/04/17	2:10 pm	shobhit	ha
27/07/18	10:59 pm	shobhit	yr java yr java kr diss sb aaj
27/07/18	11:42 pm	shobhit	btao kya kiya jay
27/07/18	11:42 pm	psit shivam tripathi	havkerrrank pe coding karo
27/07/18	11:42 pm	shobhit	sonam
27/07/18	11:42 pm	psit shivam tripathi	bewafa hai
27/07/18	11:43 pm	shobhit	model online run kiye h
27/07/18	11:43 pm	shobhit	kissi cloud pe
27/07/18	11:44 pm	shobhit	ibm or google
27/07/18	11:44 pm	psit shivam tripathi	no
27/07/18	11:44 pm	shobhit	ok
27/07/18	11:44 pm	shobhit	vo eclipse ho rha h na
27/07/18	11:44 pm	shobhit	abhi
27/07/18	11:45 pm	psit shivam tripathi	acha
27/07/18	11:45 pm	psit shivam tripathi	real wala
27/07/18	11:45 pm	psit shivam tripathi	this message was deleted
27/07/18	11:45 pm	psit shivam tripathi	lunar eclipse
27/07/18	11:45 pm	shobhit	ha vahi
27/07/18	11:46 pm	psit shivam tripathi	yaha dekhne ko nahi milega
27/07/18	11:46 pm	shobhit	kyo
27/07/18	11:46 pm	psit shivam tripathi	news me padha
27/07/18	11:46 pm	shobhit	nhi
27/07/18	11:48 pm	shobhit	kya h
27/07/18	11:48 pm	psit shivam tripathi	nasa confirmed
27/07/18	11:49 pm	psit shivam tripathi	india me visible nahi hoga
27/07/18	11:49 pm	shobhit	oh
27/07/18	11:49 pm	shobhit	to fr ab kaise transform hoge
27/07/18	11:49 pm	shobhit	online dakh ke
28/07/18	9:49 am	shobhit	happy birthday bhai
08/08/18	10:31 pm	shobhit	1 hua
08/08/18	10:31 pm	shobhit	code chef ka
08/08/18	11:05 pm	psit shivam tripathi	nahi bhai
08/08/18	11:05 pm	psit shivam tripathi	abhi karta hu
08/08/18	11:09 pm	shobhit	ok
09/08/18	12:37 am	shobhit	hua
09/08/18	12:37 am	psit shivam tripathi	abhi kiya nahi
09/08/18	12:37 am	shobhit	are
09/08/18	12:37 am	psit shivam tripathi	time nahi mil raha
09/08/18	12:38 am	shobhit	kahe kya kr rhe ho
09/08/18	12:38 am	psit shivam tripathi	tum koi aur try karo
09/08/18	12:38 am	shobhit	4 kare
09/08/18	12:38 am	psit shivam tripathi	kar lo
09/08/18	12:38 am	psit shivam tripathi	coordinate compression ki language samjha do
09/08/18	12:38 am	psit shivam tripathi	pata nahi kya ho raha hai usme
09/08/18	12:39 am	shobhit	acha vahi dakhte h
09/08/18	12:39 am	shobhit	4 ke baad
09/08/18	12:40 am	psit shivam tripathi	haan
09/08/18	12:40 am	psit shivam tripathi	3rd hua tha mera and 4th me 50 100
09/08/18	12:43 am	shobhit	gazb
09/08/18	1:33 am	psit shivam tripathi	ho gaya
09/08/18	1:33 am	psit shivam tripathi	pehla
09/08/18	2:01 am	shobhit	b and o count kiye hoge
09/08/18	2:03 am	psit shivam tripathi	kal baat karte hai class me
09/08/18	2:06 am	shobhit	ok
13/08/18	7:55 pm	shobhit	are iiti jaldi
14/08/18	6:05 am	shobhit	example program
14/08/18	6:06 am	shobhit	50 hi result aa rha h last 2 galt
14/08/18	7:24 am	psit shivam tripathi	mod wale fn me
14/08/18	7:24 am	psit shivam tripathi	a ki range 10 12 hai last 2 test cases me
14/08/18	7:24 am	psit shivam tripathi	overflow ho jayega us step pe
14/08/18	7:33 am	shobhit	to kya kare
14/08/18	7:37 am	psit shivam tripathi	college ke liye ready ho jao
14/08/18	7:37 am	psit shivam tripathi	chuppe chaap
14/08/18	7:38 am	psit shivam tripathi	use int arrays and perform squaring
14/08/18	7:38 am	psit shivam tripathi	or use
14/08/18	7:38 am	psit shivam tripathi	int 132 as data type
14/08/18	7:39 am	shobhit	frgi ke tarike mt batao
14/08/18	7:39 am	shobhit	ha ye sahi lagg rha h
14/08/18	7:39 am	psit shivam tripathi	achha tareeka hai
14/08/18	7:42 am	shobhit	yahi kiye te ky
14/08/18	7:55 am	psit shivam tripathi	haan
14/08/18	7:55 am	psit shivam tripathi	net pe dekha tha large int ke liye
14/08/18	7:55 am	psit shivam tripathi	long long int dikha raha tha
14/08/18	7:55 am	psit shivam tripathi	usse kaam nahi ban rhaa yha
14/08/18	7:55 am	psit shivam tripathi	int 132 toh kal editorial me dekh ke pata chala
15/08/18	3:53 am	shobhit	sooy jao
15/08/18	3:53 am	psit shivam tripathi	ja rahe
15/08/18	3:54 am	shobhit	you deleted this message
15/08/18	3:55 am	psit shivam tripathi	subah nikal jaoge
15/08/18	3:55 am	psit shivam tripathi	uthte hi
15/08/18	3:56 am	shobhit	ha
15/08/18	3:56 am	shobhit	vahi
15/08/18	3:56 am	psit shivam tripathi	chalo phir
15/08/18	3:56 am	psit shivam tripathi	gn
15/08/18	3:56 am	shobhit	gn bhai
19/08/18	6:58 pm	psit shivam tripathi	9 30 12 00 cookoff
19/08/18	7:00 pm	shobhit	bull gy te
19/08/18	7:18 pm	psit shivam tripathi	bull gaye the
20/08/18	12:05 am	psit shivam tripathi	nahi diye
20/08/18	12:05 am	psit shivam tripathi	tum
20/08/18	6:05 am	shobhit	na
